,,detection_accuracy,detection_accuracy,response_time_ms,nasa_tlx
,,mean,std,mean,mean
period,team,,,,
Post-ASAM,Team_1,0.7784,0.0624,3160.6667,47.65
Post-ASAM,Team_10,0.8386,0.0498,3193.6667,48.5833
Post-ASAM,Team_2,0.802,0.0428,2657.6667,48.5167
Post-ASAM,Team_3,0.8308,0.0659,3314.6667,48.35
Post-ASAM,Team_4,0.8335,0.0435,2786.1667,52.05
Post-ASAM,Team_5,0.8557,0.0417,2900.75,44.0125
Post-ASAM,Team_6,0.8228,0.0816,2941.5,47.58
Post-ASAM,Team_7,0.8398,0.0954,3230.875,46.0625
Post-ASAM,Team_8,0.8412,0.1549,2857.0,51.7
Post-ASAM,Team_9,0.8295,0.0221,2873.5,46.125
Pre-ASAM,Team_1,0.7488,0.0734,3361.1667,52.1833
Pre-ASAM,Team_10,0.7192,0.0758,3435.3333,54.45
Pre-ASAM,Team_2,0.7553,0.0522,3363.6667,56.3333
Pre-ASAM,Team_3,0.7355,0.073,3570.3333,50.75
Pre-ASAM,Team_4,0.7075,0.0675,3484.6667,59.75
Pre-ASAM,Team_5,0.7427,0.0696,3387.5,54.275
Pre-ASAM,Team_6,0.7154,0.0911,3374.5,54.8
Pre-ASAM,Team_7,0.7723,0.0608,3239.25,59.85
Pre-ASAM,Team_8,0.7284,0.0534,3469.0,56.21
Pre-ASAM,Team_9,0.7153,0.0362,3457.5,53.6
